Condition,Feature,subject,accuracy
control_sentence,Acoustic Edge,sub-006,0.0009352981585994907
control_sentence,Acoustic Edge,sub-008,0.001653230480798322
control_sentence,Acoustic Edge,sub-009,0.001747628520476779
control_sentence,Acoustic Edge,sub-010,0.000669210346692039
control_sentence,Acoustic Edge,sub-011,0.0006567644126181008
control_sentence,Acoustic Edge,sub-012,0.0007166206100703768
control_sentence,Acoustic Edge,sub-013,0.0007402913140355249
control_sentence,Acoustic Edge,sub-015,0.00033931263291329863
control_sentence,Acoustic Edge,sub-016,-0.0002550443485002706
control_sentence,Acoustic Edge,sub-017,0.001396108171349298
control_sentence,Acoustic Edge,sub-018,0.0010275735512122214
control_sentence,Acoustic Edge,sub-019,0.00010993515716311181
control_sentence,Acoustic Edge,sub-020,0.0004951657768792093
control_sentence,Acoustic Edge,sub-021,0.0010472227209199097
control_sentence,Acoustic Edge,sub-022,0.0005531289737953002
control_sentence,Acoustic Edge,sub-023,0.00012855414907815977
control_sentence,Acoustic Edge,sub-024,-0.0002586432751513571
control_sentence,Acoustic Edge,sub-025,0.0004639011118255386
control_sentence,Acoustic Edge,sub-026,0.0018046378708551857
control_sentence,Acoustic Edge,sub-027,0.001131801112510141
control_sentence,Acoustic Edge,sub-028,0.0005982721626754387
control_sentence,Acoustic Edge,sub-030,0.0009782136517237244
control_sentence,Acoustic Edge,sub-031,3.448025856871257e-05
control_sentence,Acoustic Edge,sub-032,0.0001502293047589287
control_sentence,Acoustic Edge,sub-033,0.0003953115353002949
control_sentence,Acoustic Edge,sub-034,0.0009894064560323677
control_sentence,Acoustic Edge,sub-035,0.00010765361575369394
control_sentence,Acoustic Edge,sub-036,0.00019305291489165325
control_sentence,Acoustic Edge,sub-037,0.001732133269811686
control_sentence,Acoustic Edge,sub-038,0.0010255984810083366
random_word_list,Acoustic Edge,sub-006,0.0006557130420875123
random_word_list,Acoustic Edge,sub-008,0.0014291419020807414
random_word_list,Acoustic Edge,sub-009,0.0012669447278359108
random_word_list,Acoustic Edge,sub-010,0.0008137752668716531
random_word_list,Acoustic Edge,sub-011,0.00013742534976902854
random_word_list,Acoustic Edge,sub-012,0.0006526995835447357
random_word_list,Acoustic Edge,sub-013,0.00046832805458776606
random_word_list,Acoustic Edge,sub-015,0.0003795698313047198
random_word_list,Acoustic Edge,sub-016,-7.822927195705476e-05
random_word_list,Acoustic Edge,sub-017,0.0011640873367561562
random_word_list,Acoustic Edge,sub-018,0.0012937315234556415
random_word_list,Acoustic Edge,sub-019,0.000210538058029858
random_word_list,Acoustic Edge,sub-020,0.0002940987235117709
random_word_list,Acoustic Edge,sub-021,0.0007951890388528757
random_word_list,Acoustic Edge,sub-022,0.0008495710267850031
random_word_list,Acoustic Edge,sub-023,0.00021209599924717625
random_word_list,Acoustic Edge,sub-024,4.984114571827049e-05
random_word_list,Acoustic Edge,sub-025,0.00044197175257450064
random_word_list,Acoustic Edge,sub-026,0.001925206553861485
random_word_list,Acoustic Edge,sub-027,0.0007840197369611819
random_word_list,Acoustic Edge,sub-028,0.0005992748333931845
random_word_list,Acoustic Edge,sub-030,0.00021996495111112775
random_word_list,Acoustic Edge,sub-031,-1.6421911096229193e-05
random_word_list,Acoustic Edge,sub-032,0.00035260427443293337
random_word_list,Acoustic Edge,sub-033,0.0004447946770518556
random_word_list,Acoustic Edge,sub-034,0.0009270439179651581
random_word_list,Acoustic Edge,sub-035,0.0007565150218016539
random_word_list,Acoustic Edge,sub-036,0.0003456687546576697
random_word_list,Acoustic Edge,sub-037,0.001411156166118197
random_word_list,Acoustic Edge,sub-038,0.0011491200741817575
control_sentence,Phoneme Onset,sub-006,0.0008633728692693091
control_sentence,Phoneme Onset,sub-008,0.001086265640187765
control_sentence,Phoneme Onset,sub-009,0.0014326937389615073
control_sentence,Phoneme Onset,sub-010,0.001017520914584643
control_sentence,Phoneme Onset,sub-011,0.00029207440542613843
control_sentence,Phoneme Onset,sub-012,0.0007858829646217196
control_sentence,Phoneme Onset,sub-013,0.0008539788449320708
control_sentence,Phoneme Onset,sub-015,0.00028652801826052306
control_sentence,Phoneme Onset,sub-016,-3.6769793174620574e-05
control_sentence,Phoneme Onset,sub-017,0.0008485225546601381
control_sentence,Phoneme Onset,sub-018,0.0008203840356135774
control_sentence,Phoneme Onset,sub-019,0.00015407218542760952
control_sentence,Phoneme Onset,sub-020,0.000826576084222933
control_sentence,Phoneme Onset,sub-021,0.0008726416326752442
control_sentence,Phoneme Onset,sub-022,0.0007586827876413413
control_sentence,Phoneme Onset,sub-023,0.00039667554137360066
control_sentence,Phoneme Onset,sub-024,0.00023605865497998662
control_sentence,Phoneme Onset,sub-025,0.0004008917591424825
control_sentence,Phoneme Onset,sub-026,0.0005945944765198864
control_sentence,Phoneme Onset,sub-027,0.0007915311706904475
control_sentence,Phoneme Onset,sub-028,0.000608576851277702
control_sentence,Phoneme Onset,sub-030,0.0010476435244998043
control_sentence,Phoneme Onset,sub-031,0.0005499148612097494
control_sentence,Phoneme Onset,sub-032,0.00022364563286355477
control_sentence,Phoneme Onset,sub-033,0.00041149404746328784
control_sentence,Phoneme Onset,sub-034,0.0007343698208702273
control_sentence,Phoneme Onset,sub-035,0.0007501966898741683
control_sentence,Phoneme Onset,sub-036,0.0005556434928878235
control_sentence,Phoneme Onset,sub-037,0.0012694557538775824
control_sentence,Phoneme Onset,sub-038,0.000680237249828319
random_word_list,Phoneme Onset,sub-006,0.000660196424139569
random_word_list,Phoneme Onset,sub-008,0.0008365093978498668
random_word_list,Phoneme Onset,sub-009,0.0008205230418674998
random_word_list,Phoneme Onset,sub-010,0.0005332083003474282
random_word_list,Phoneme Onset,sub-011,0.00033912687207190886
random_word_list,Phoneme Onset,sub-012,0.0009196400921651052
random_word_list,Phoneme Onset,sub-013,0.0006411741316232442
random_word_list,Phoneme Onset,sub-015,0.00033994453595420925
random_word_list,Phoneme Onset,sub-016,0.00017764014835857959
random_word_list,Phoneme Onset,sub-017,0.0009626432161179836
random_word_list,Phoneme Onset,sub-018,0.0008102477977689743
random_word_list,Phoneme Onset,sub-019,9.183745187665528e-05
random_word_list,Phoneme Onset,sub-020,0.00037028115023619694
random_word_list,Phoneme Onset,sub-021,0.0007159008825593069
random_word_list,Phoneme Onset,sub-022,0.000674510826089473
random_word_list,Phoneme Onset,sub-023,0.00018288949444719135
random_word_list,Phoneme Onset,sub-024,0.00017128747617570542
random_word_list,Phoneme Onset,sub-025,0.0004519113442556043
random_word_list,Phoneme Onset,sub-026,0.0005419625076732813
random_word_list,Phoneme Onset,sub-027,0.0005426511222010145
random_word_list,Phoneme Onset,sub-028,0.0006738165645859322
random_word_list,Phoneme Onset,sub-030,0.000625833922664553
random_word_list,Phoneme Onset,sub-031,9.328649431449091e-05
random_word_list,Phoneme Onset,sub-032,0.00037196990570052726
random_word_list,Phoneme Onset,sub-033,0.0003901791235876028
random_word_list,Phoneme Onset,sub-034,0.0006925807525500612
random_word_list,Phoneme Onset,sub-035,0.00037781500722175795
random_word_list,Phoneme Onset,sub-036,0.0003447042192916448
random_word_list,Phoneme Onset,sub-037,0.0012372434296729427
random_word_list,Phoneme Onset,sub-038,0.0007591948444734025
